LOOKBACK,EXIT_LOOKBACK,MAX_STOCKS,HURST_WINDOW,HURST_TREND,HURST_REVERT,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Return: Inception -> 2020-03-23 [%],Return: 2020-03-23 -> 2021-10-18 [%],Return: 2021-10-18 -> 2023-03-27 [%],Return: 2023-03-27 -> 2024-09-24 [%],Return: 2024-09-24 -> 2025-09-30 [%]
20,20,10,2048,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1159034.47,15.903446999999996,463.29777520758944,97.8119924308934,0.0,4.280780253513856,41 days,53,43,10,-25236.350000000006,67.44186046511628,25.01420615979089,-11.113924050632912,10.386198618740663,-6.432208963234326,34 days 05:47:35.172413793,28 days 18:51:25.714285714,4.451039080825717,4285.367906976742,0.6580008157928392,0.5709171833645498,1.4481320019739747,1.2749334486575643,0.0,0.0,0.0,0.0,14.285471999999997
20,20,10,1024,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1701890.16495467,70.189016495467,463.29777520758944,99.36214308987614,0.0,15.809431135701743,416 days,267,257,10,-62282.600000000035,59.143968871595334,219.44651093587262,-36.37992831541219,14.101153120610757,-8.909774215345042,48 days 10:34:44.210526316,41 days 07:32:34.285714286,2.061658971974595,2973.4348830921017,0.894874928781778,0.5749148725320224,1.1902445202612761,1.2399223691600196,0.0,24.62515322006098,-11.759948102001925,62.20578235226307,-3.2821779709724406
20,20,10,512,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2044228.8212490398,104.42288212490398,463.29777520758944,99.62383807625261,0.0,26.081677842913777,224 days,383,373,10,-57319.66649256999,57.37265415549599,172.72727272727272,-63.68327402135231,14.37500056735335,-9.660818134366679,48 days 15:55:30.841121495,39 days 11:01:07.924528301,1.92859176161266,2953.2131038649068,1.0090192138339682,0.47580152188360864,1.1791616457432224,1.3955982329892158,-8.427872209193,78.90301505973073,-3.6248051647237487,44.55424950153766,-2.599610605358906
20,20,10,256,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,3070998.939419912,207.09989394199118,463.29777520758944,99.7487866349599,0.0,26.772829410380805,382 days,402,392,10,-93113.20474271991,57.14285714285714,777.2903518964631,-63.68327402135231,18.912135166442827,-10.342971955712606,49 days 10:04:17.142857142,48 days 00:17:08.571428571,2.3019920850762787,5520.694245312835,1.2907691210301742,0.7525978413945262,1.2268588557515563,1.8538345271519765,-3.62790782950205,140.41782797635935,7.1328996816302945,44.81168857661434,-9.183377842764735
20,20,10,128,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2625392.868286901,162.5392868286901,463.29777520758944,99.77074482541607,0.0,29.751323105027666,451 days,456,446,10,-73073.45948543995,61.65919282511211,161.60337552742615,-45.5663430420712,13.588161954676844,-9.391912390379265,46 days 02:16:08.727272727,44 days 16:16:50.526315789,2.25167721125614,3808.2204658572696,1.1500681633046836,0.5749897624822925,1.1884476250190015,1.6289794381416391,-1.1838208646670216,75.14900014897334,6.344496885755293,56.867557568062146,-4.370912977327454
20,20,10,64,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2076813.4856299406,107.68134856299407,463.29777520758944,99.85561483187429,0.0,28.49268094558177,702 days,448,439,9,-65253.97109268999,54.66970387243736,372.3588624295533,-71.58948685857321,15.643624125567657,-9.81538421648386,47 days 05:48:00,48 days 01:41:18.391959799,1.7074023511975471,2601.5204025572457,0.9132768476816446,0.4457604629165377,1.142612614170505,1.287875540494142,-15.76398401959897,112.48137828272071,-6.608210584770252,52.040130840336275,-13.210382033407544
20,20,10,16,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1000000.0,0.0,463.29777520758944,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,0.0,0.0,0.0,0.0,0.0
20,20,12,2048,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1174017.2,17.40171999999999,463.29777520758944,98.56085122694836,0.0,3.889606176018632,41 days,61,49,12,-18873.100000000013,71.42857142857143,25.01420615979088,-11.113924050632912,10.152744688673026,-6.432208963234324,36 days 01:22:17.142857143,28 days 18:51:25.714285714,5.339567416286455,3936.5367346938774,0.74145185103183,0.6837367590344776,1.5228374461804446,1.468526951493469,0.0,0.0,0.0,0.0,15.143320999999995
20,20,12,1024,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2138201.6747050895,113.82016747050896,463.29777520758944,99.48924693129537,0.0,13.602615163374837,186 days,316,304,12,-82192.40000000004,60.19736842105263,243.41801385681293,-36.37992831541219,16.438781148640384,-8.73677922349367,48 days 07:36:23.606557377,42 days 02:22:48.595041322,2.562295819882743,4014.4541931088515,1.230825164363387,0.9732913274481455,1.2761890957532847,1.7325714030220631,0.0,37.46115460213199,-5.635206085058144,70.24181905345303,-2.0085526340714064
20,20,12,512,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2870236.8506853906,187.02368506853907,463.29777520758944,99.41857308843622,0.0,25.891268784899633,207 days,453,441,12,-58741.15182115002,58.730158730158735,777.290351896463,-63.68327402135231,17.95745350568099,-9.587551071765471,49 days 15:11:48.880308880,39 days 20:02:38.241758241,2.4235968027992767,4374.099778926396,1.3870124585458228,0.7271767577794899,1.258841802966347,1.9697842173316726,-6.428258292034979,117.53889018710319,-0.23517614373604676,51.388576272828935,-0.5192359145654339
20,20,12,256,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2956916.3732096488,195.69163732096487,463.29777520758944,99.78919655005896,0.0,27.247681688361315,406 days,493,481,12,-71761.84437848999,57.17255717255717,777.2903518964631,-63.68327402135231,17.792625272957842,-10.371330025324262,48 days,47 days 13:58:50.097087379,2.351661974583281,4217.626231991981,1.2778732619776807,0.7122567229402467,1.2238424166875064,1.835054231256598,-10.415833929847974,137.93262186487135,7.49935959739147,45.59117700948587,-6.85762895850977
20,20,12,128,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2603767.502062269,160.37675020622692,463.29777520758944,99.77074482541607,0.0,30.511889283351117,452 days,546,534,12,-53908.25678549995,61.04868913857678,357.02704834838363,-45.5663430420712,14.034385594609045,-9.571669833868015,45 days 18:24:17.668711656,44 days 21:13:50.769230769,2.24424056595976,3104.261720688706,1.1474554575490352,0.5554669572478167,1.188809664167782,1.6064212734926333,-5.40917034699003,75.11687820262415,5.663438955312372,63.22299726961198,-4.889415916542785
20,20,12,64,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,2607836.22538564,160.78362253856398,463.29777520758944,99.85561483187429,0.0,32.08746534590181,672 days,543,532,11,-58817.99809982002,55.639097744360896,750.6238538176149,-71.58948685857321,17.145668320324024,-9.484836977221619,46 days 10:42:09.729729729,48 days 05:11:11.186440678,1.9934322531369453,3132.808690762145,1.1691093216717419,0.5291232785189484,1.189380963768919,1.678095931586785,-19.625427714264976,158.09852394672325,-5.226870858864311,55.238066213916795,-9.733137267769827
20,20,12,16,0.5,0.5,2017-01-02 09:15:00,2025-12-31 09:15:00,2231 days,1000000.0,1000000.0,0.0,463.29777520758944,0.0,0.0,,,0,0,0,0.0,,,,,,,,,,inf,,inf,inf,0.0,0.0,0.0,0.0,0.0
